OBJECTID_1;NAME_Obshtina;L_NAME_Obshtina;Name_bg_naseleno_myasto;Descr_bg_naseleno_myasto;Name_en_naseleno_myasto;Descr_en_naseleno_myasto;REG_NAME;REG_LNAME;EKATTE;POINT_X;POINT_Y;key_VIL_MUN
4884;Ивайловград;Ivaylovgrad;Сборино;село;Sborino;village;Хасково;Haskovo;65485;25.907908;41.516105;СБОРИНОИВАЙЛОВГРАД
4886;Ивайловград;Ivaylovgrad;Планинец;село;Planinets;village;Хасково;Haskovo;56633;25.922694;41.500882;ПЛАНИНЕЦИВАЙЛОВГРАД
4889;Ивайловград;Ivaylovgrad;Пъстроок;село;Pastrook;village;Хасково;Haskovo;59197;25.937906;41.464076;ПЪСТРООКИВАЙЛОВГРАД
4890;Ивайловград;Ivaylovgrad;Розино;село;Rozino;village;Хасково;Haskovo;62935;25.90243;41.455941;РОЗИНОИВАЙЛОВГРАД
4891;Ивайловград;Ivaylovgrad;Ветрушка;село;Vetrushka;village;Хасково;Haskovo;10906;25.865268;41.451865;ВЕТРУШКАИВАЙЛОВГРАД
4892;Ивайловград;Ivaylovgrad;Вис;село;Vis;village;Хасково;Haskovo;11199;25.855506;41.44628;ВИСИВАЙЛОВГРАД
4893;Ивайловград;Ivaylovgrad;Белидол;село;Belidol;village;Хасково;Haskovo;3424;25.955839;41.409788;БЕЛИДОЛИВАЙЛОВГРАД
4895;Ивайловград;Ivaylovgrad;Казак;село;Kazak;village;Хасково;Haskovo;35143;25.878907;41.410236;КАЗАКИВАЙЛОВГРАД
4897;Маджарово;Madjarovo;Сеноклас;село;Senoklas;village;Хасково;Haskovo;66233;25.950468;41.612718;СЕНОКЛАСМАДЖАРОВО
4898;Ивайловград;Ivaylovgrad;Ленско;село;Lensko;village;Хасково;Haskovo;43308;25.964586;41.436466;ЛЕНСКОИВАЙЛОВГРАД
4905;Ивайловград;Ivaylovgrad;Драбишна;село;Drabishna;village;Хасково;Haskovo;23056;26.157114;41.502338;ДРАБИШНАИВАЙЛОВГРАД
4909;Ивайловград;Ivaylovgrad;Орешино;село;Oreshino;village;Хасково;Haskovo;53789;26.09051;41.456089;ОРЕШИНОИВАЙЛОВГРАД
4912;Ивайловград;Ivaylovgrad;Кондово;село;Kondovo;village;Хасково;Haskovo;38248;26.0143;41.433691;КОНДОВОИВАЙЛОВГРАД
4914;Ивайловград;Ivaylovgrad;Железари;село;Zhelezari;village;Хасково;Haskovo;29074;25.998351;41.412858;ЖЕЛЕЗАРИИВАЙЛОВГРАД
4919;Ивайловград;Ivaylovgrad;ГорноЛуково;село;GornoLukovo;village;Хасково;Haskovo;16835;26.086581;41.363417;ГОРНОЛУКОВОИВАЙЛОВГРАД
4922;Севлиево;Sevlievo;Градница;село;Gradnitsa;village;Габрово;Gabrovo;17587;24.954689;42.957542;ГРАДНИЦАСЕВЛИЕВО
4924;Севлиево;Sevlievo;Мариновци;село;Marinovtsi;village;Габрово;Gabrovo;47233;24.91082;42.916723;МАРИНОВЦИСЕВЛИЕВО
4926;Севлиево;Sevlievo;Рогулят;село;Rogulyat;village;Габрово;Gabrovo;62863;24.93151;42.925696;РОГУЛЯТСЕВЛИЕВО
4927;Севлиево;Sevlievo;Дялък;село;Dyalak;village;Габрово;Gabrovo;24815;24.974781;42.9119;ДЯЛЪКСЕВЛИЕВО
4928;Севлиево;Sevlievo;Българи;село;Bulgari;village;Габрово;Gabrovo;7301;24.915573;42.935967;БЪЛГАРИСЕВЛИЕВО
4930;Хасково;Haskovo;Козлец;село;Kozlets;village;Хасково;Haskovo;37770;25.463649;41.830047;КОЗЛЕЦХАСКОВО
4932;Минералнибани;Mineralnibani;Брястово;село;Bryastovo;village;Хасково;Haskovo;6803;25.321485;41.924055;БРЯСТОВОМИНЕРАЛНИБАНИ
4933;Минералнибани;Mineralnibani;БоянБотево;село;BoyanBotevo;village;Хасково;Haskovo;5983;25.300914;41.835344;БОЯНБОТЕВОМИНЕРАЛНИБАНИ
4934;Минералнибани;Mineralnibani;Караманци;село;Karamantsi;village;Хасково;Haskovo;36325;25.330158;41.833516;КАРАМАНЦИМИНЕРАЛНИБАНИ
4937;Минералнибани;Mineralnibani;Минералнибани;село;Mineralnibani;village;Хасково;Haskovo;48297;25.349123;41.93723;МИНЕРАЛНИБАНИМИНЕРАЛНИБАНИ
4938;Минералнибани;Mineralnibani;Сусам;село;Susam;village;Хасково;Haskovo;70250;25.347462;41.96468;СУСАММИНЕРАЛНИБАНИ
4939;Минералнибани;Mineralnibani;Сираково;село;Sirakovo;village;Хасково;Haskovo;66634;25.370761;41.885648;СИРАКОВОМИНЕРАЛНИБАНИ
4940;Минералнибани;Mineralnibani;Винево;село;Vinevo;village;Хасково;Haskovo;11106;25.306964;41.809751;ВИНЕВОМИНЕРАЛНИБАНИ
4944;Хасково;Haskovo;Гълъбец;село;Galabets;village;Хасково;Haskovo;18232;25.437036;41.843551;ГЪЛЪБЕЦХАСКОВО
4946;Хасково;Haskovo;Широкаполяна;село;Shirokapolyana;village;Хасково;Haskovo;83288;25.40948;41.813536;ШИРОКАПОЛЯНАХАСКОВО
4949;Хасково;Haskovo;Текето;село;Teketo;village;Хасково;Haskovo;72182;25.468006;41.855315;ТЕКЕТОХАСКОВО
4950;Минералнибани;Mineralnibani;Ангелвойвода;село;Angelvoyvoda;village;Хасково;Haskovo;446;25.286437;41.829111;АНГЕЛВОЙВОДАМИНЕРАЛНИБАНИ
4952;БратяДаскалови;BratyaDaskalovi;Голямдол;село;Golyamdol;village;СтараЗагора;StaraZagora;15744;25.227223;42.333185;ГОЛЯМДОЛБРАТЯДАСКАЛОВИ
4953;БратяДаскалови;BratyaDaskalovi;БратяДаскалови;село;BratyaDaskalovi;village;СтараЗагора;StaraZagora;6183;25.209352;42.296772;БРАТЯДАСКАЛОВИБРАТЯДАСКАЛОВИ
4955;БратяДаскалови;BratyaDaskalovi;ГорноБелево;село;GornoBelevo;village;СтараЗагора;StaraZagora;16691;25.234703;42.259538;ГОРНОБЕЛЕВОБРАТЯДАСКАЛОВИ
4957;БратяДаскалови;BratyaDaskalovi;Опълченец;село;Opalchenets;village;СтараЗагора;StaraZagora;53624;25.12361;42.206958;ОПЪЛЧЕНЕЦБРАТЯДАСКАЛОВИ
4960;БратяДаскалови;BratyaDaskalovi;Плодовитово;село;Plodovitovo;village;СтараЗагора;StaraZagora;56811;25.206891;42.176769;ПЛОДОВИТОВОБРАТЯДАСКАЛОВИ
4964;Чирпан;Chirpan;Винарово;село;Vinarovo;village;СтараЗагора;StaraZagora;11082;25.412513;42.299699;ВИНАРОВОЧИРПАН
