form_main_source;form_main_rain;form_main_wind_direction;form_main_wind_force;form_main_cloud_level;form_main_threats;form_birds_name;form_birds_count_units;form_birds_count_type;form_birds_nesting;form_birds_sex;form_birds_age;form_birds_marking;form_birds_status;form_birds_behaviour;form_birds_death;form_birds_nest_substrate;form_birds_nest_location;form_birds_nest_height;form_birds_nest_position;form_birds_age_individual;form_birds_nest_success;form_herp_name;form_herp_gender;form_herp_age;form_herp_habitat;form_herp_danger_observation;form_cbm_distance;form_cbm_visit_number;form_cbm_sector;form_cbm_habitat;form_ciconia_substratum;form_ciconia_column;form_ciconia_column_type;form_ciconia_tree;form_ciconia_building;form_ciconia_not_occupied;form_ciconia_new_birds
;;;;;;Bonasa bonasia | Лещарка;;;;;;;;;;;;;;;;Apodemus agrarius | Полска мишка;;;;;;;;;;;;;;;
;;;;;;Botaurus lentiginosus;;;;;;;;;;;;;;;;Rattus rattus | Черен плъх;;;;;;;;;;;;;;;
;;;;;;Botaurus stellaris | Голям воден бик;;;;;;;;;;;;;;;;Rattus norvegicus | Сив плъх;;;;;;;;;;;;;;;
;;;;;;Branta bernicla | Черна гъска;;;;;;;;;;;;;;;;Mus musculus musculus | Домашна мишка;;;;;;;;;;;;;;;
;;;;;;Branta canadensis | Канадска гъска;;;;;;;;;;;;;;;;Mus musculus domesticus | Домашна мишка;;;;;;;;;;;;;;;
;;;;;;Branta leucopsis | Белобуза гъска;;;;;;;;;;;;;;;;Mus spicilegus | Степна домашна мишка;;;;;;;;;;;;;;;
;;;;;;Branta ruficollis | Червеногуша гъска;;;;;;;;;;;;;;;;Mus macedonicus | Източносредиземноморска домашна мишка;;;;;;;;;;;;;;;
;;;;;;Bubo bubo | Бухал;;;;;;;;;;;;;;;;Cricetus cricetus | Голям хомяк;;;;;;;;;;;;;;;
;;;;;;Bubulcus ibis | Биволска чапла;;;;;;;;;;;;;;;;Mesocricetus newtoni | Добруджански хомяк;;;;;;;;;;;;;;;
;;;;;;Bucanetes githagineus;;;;;;;;;;;;;;;;Cricetulus migratоrius | Сиво хомяче;;;;;;;;;;;;;;;
;;;;;;Bucanetes mongolicus;;;;;;;;;;;;;;;;Ondatra zibethicus | Ондатра;;;;;;;;;;;;;;;
;;;;;;Bucephala clangula | Звънарка;;;;;;;;;;;;;;;;Clethrionomys glareolus | Ръждива горска полевка;;;;;;;;;;;;;;;
;;;;;;Bucephala islandica;;;;;;;;;;;;;;;;Arvicola terrestris | Водна полевка (плъх);;;;;;;;;;;;;;;
;;;;;;Bulweria bulwerii;;;;;;;;;;;;;;;;Microtus arvalis | Обикновена полевка;;;;;;;;;;;;;;;
;;;;;;Burhinus oedicnemus | Турилик;;;;;;;;;;;;;;;;Microtus levis | Източноевропейска полевка;;;;;;;;;;;;;;;
;;;;;;Buteo buteo | Обикновен мишелов;;;;;;;;;;;;;;;;Microtus hartingi | Полевка на Хартинг;;;;;;;;;;;;;;;
;;;;;;Buteo lagopus | Северен мишелов;;;;;;;;;;;;;;;;Microtus subterraneus | Подземна полевка;;;;;;;;;;;;;;;
;;;;;;Buteo rufinus | Белоопашат мишелов;;;;;;;;;;;;;;;;Chinomys nivalis | Снежна полевка;;;;;;;;;;;;;;;
;;;;;;Butorides virescens;;;;;;;;;;;;;;;;Sicista subtilis | Скачаща степна мишка;;;;;;;;;;;;;;;
;;;;;;Calandrella brachydactyla | Късопръста чучулига;;;;;;;;;;;;;;;;Spalax leucodon | Сляпо куче;;;;;;;;;;;;;;;
;;;;;;Calandrella rufescens | Сива чучулига;;;;;;;;;;;;;;;;Myocastor coypus | Нутрия;;;;;;;;;;;;;;;
